park_id,park_name,official_area_m2,candidate_source,candidate_id,candidate_name,name_score,distance_m,candidate_area_m2,area_ratio,area_difference,fclass
4,서울숲,480994.0,seoul,생활서비스시설_공원_0043,기타공원(서울숲),100.0,46.15,635796.94,1.3218,0.3218,
4,서울숲,480994.0,seoul,생활서비스시설_공원_0035,근린공원(서울숲),100.0,0.0,247151.98,0.5138,0.4862,
4,서울숲,480994.0,seoul,생활서비스시설_공원_0002,근린공원(서울숲),100.0,526.86,36188.11,0.0752,0.9248,
4,서울숲,480994.0,seoul,생활서비스시설_공원_1876,근린공원(서울숲(뚝섬)),90.0,526.86,36188.11,0.0752,0.9248,
4,서울숲,480994.0,seoul,생활서비스시설_공원_0226,강변공원(중랑천),0.0,872.59,444426.04,0.924,0.076,
4,서울숲,480994.0,seoul,생활서비스시설_공원_0186,근린공원(응봉<시공원>),0.0,1402.23,290495.89,0.6039,0.3961,
4,서울숲,480994.0,seoul,생활서비스시설_공원_0036,강변공원(잠실지구),0.0,1186.03,195111.91,0.4056,0.5944,
4,서울숲,480994.0,seoul,생활서비스시설_공원_0022,근린공원((응봉)),0.0,979.51,160657.95,0.334,0.666,
4,서울숲,480994.0,seoul,생활서비스시설_공원_0031,강변공원(뚝섬지구),0.0,1289.69,73275.89,0.1523,0.8477,
4,서울숲,480994.0,seoul,생활서비스시설_공원_0218,강변공원(중랑천),0.0,864.73,56094.77,0.1166,0.8834,
4,서울숲,480994.0,osm,17338887,서울숲,100.0,0.0,662076.1,1.3765,0.3765,park
4,서울숲,480994.0,osm,158653405,독서당공원,33.33,1359.67,8007.62,0.0166,0.9834,park
4,서울숲,480994.0,osm,981963451,잠원한강공원,0.0,1188.15,495400.82,1.03,0.03,park
4,서울숲,480994.0,osm,14528902,응봉산 공원,0.0,974.24,106538.46,0.2215,0.7785,park
4,서울숲,480994.0,osm,572259714,살곶이체육공원,0.0,1226.04,61757.99,0.1284,0.8716,park
4,서울숲,480994.0,osm,976894516,,0.0,530.55,31129.98,0.0647,0.9353,park
4,서울숲,480994.0,osm,158653148,Rose Garden,0.0,1407.4,7822.73,0.0163,0.9837,park
4,서울숲,480994.0,osm,475986016,성수근린공원,0.0,910.87,5393.14,0.0112,0.9888,park
4,서울숲,480994.0,osm,874583386,전관원어린이공원,0.0,1200.27,4792.77,0.01,0.99,park
4,서울숲,480994.0,osm,158624121,응봉암벽등반공원,0.0,1112.53,2909.49,0.006,0.994,park
26,감로천생태공원(관악산),15000.0,seoul,생활서비스시설_공원_1257,도시자연공원((관악산)<시공원>),60.0,0.0,2535809.76,169.054,168.054,
26,감로천생태공원(관악산),15000.0,seoul,생활서비스시설_공원_1414,도시자연공원(관악산<시공원>),60.0,167.9,11816655.17,787.777,786.777,
26,감로천생태공원(관악산),15000.0,seoul,생활서비스시설_공원_1255,어린이공원(동산),25.0,377.45,1029.77,0.0687,0.9313,
26,감로천생태공원(관악산),15000.0,seoul,생활서비스시설_공원_1234,어린이공원(두산),25.0,1258.37,972.44,0.0648,0.9352,
26,감로천생태공원(관악산),15000.0,seoul,생활서비스시설_공원_1262,어린이공원(산장),25.0,1033.53,698.55,0.0466,0.9534,
26,감로천생태공원(관악산),15000.0,seoul,생활서비스시설_공원_1243,광장(독산본동다목적광장),11.76,890.44,1838.0,0.1225,0.8775,
26,감로천생태공원(관악산),15000.0,seoul,생활서비스시설_공원_1381,어린이공원(남강),0.0,1406.12,10349.17,0.6899,0.3101,
26,감로천생태공원(관악산),15000.0,seoul,생활서비스시설_공원_1252,어린이공원(무궁화),0.0,635.85,1326.52,0.0884,0.9116,
26,감로천생태공원(관악산),15000.0,seoul,생활서비스시설_공원_1250,어린이공원(새재미),0.0,1192.28,1233.84,0.0823,0.9177,
26,감로천생태공원(관악산),15000.0,seoul,생활서비스시설_공원_1242,어린이공원(장미),0.0,918.62,1206.7,0.0804,0.9196,
26,감로천생태공원(관악산),15000.0,osm,15451927,관악산생태공원,90.0,483.66,366.67,0.0244,0.9756,park
26,감로천생태공원(관악산),15000.0,osm,410555999,관악산 난곡공원,54.55,865.68,7510.87,0.5007,0.4993,park
26,감로천생태공원(관악산),15000.0,osm,385989548,금천체육공원,25.0,64.48,16964.92,1.131,0.131,park
26,감로천생태공원(관악산),15000.0,osm,385839957,산기슭공원,22.22,629.69,9608.58,0.6406,0.3594,park
26,감로천생태공원(관악산),15000.0,osm,1320034498,독산자연공원,20.0,144.91,203656.38,13.5771,12.5771,park
26,감로천생태공원(관악산),15000.0,osm,469647422,독산동 마을공원,18.18,974.52,2061.01,0.1374,0.8626,park
26,감로천생태공원(관악산),15000.0,osm,410974076,금천구민 문화체육공원,16.67,0.0,13239.41,0.8826,0.1174,park
26,감로천생태공원(관악산),15000.0,osm,408855837,독산본동 다목적광장,13.33,891.83,1435.01,0.0957,0.9043,park
26,감로천생태공원(관악산),15000.0,osm,468612247,무궁화 어린이공원,0.0,634.24,1615.98,0.1077,0.8923,park
26,감로천생태공원(관악산),15000.0,osm,1137485608,,0.0,518.79,1475.39,0.0984,0.9016,park
64,봉은공원,328018.0,seoul,생활서비스시설_공원_1622,근린공원(봉은),100.0,0.0,75634.15,0.2306,0.7694,
64,봉은공원,328018.0,seoul,생활서비스시설_공원_1647,근린공원(삼성은행나무),25.0,880.07,1652.79,0.005,0.995,
64,봉은공원,328018.0,seoul,생활서비스시설_공원_1653,어린이공원(대치은행나무),25.0,1354.28,1618.65,0.0049,0.9951,
64,봉은공원,328018.0,seoul,생활서비스시설_공원_1658,마을마당(탄천),0.0,995.98,375214.82,1.1439,0.1439,
64,봉은공원,328018.0,seoul,생활서비스시설_공원_0034,강변공원((광나루지구)),0.0,1209.71,268719.83,0.8192,0.1808,
64,봉은공원,328018.0,seoul,생활서비스시설_공원_1614,근린공원(선·정릉),0.0,560.22,240593.07,0.7335,0.2665,
64,봉은공원,328018.0,seoul,생활서비스시설_공원_1752,강변공원(탄천),0.0,1140.73,234669.65,0.7154,0.2846,
64,봉은공원,328018.0,seoul,생활서비스시설_공원_1631,근린공원(청담),0.0,719.78,59347.72,0.1809,0.8191,
64,봉은공원,328018.0,seoul,생활서비스시설_공원_1656,근린공원(청수),0.0,999.73,11672.88,0.0356,0.9644,
64,봉은공원,328018.0,seoul,생활서비스시설_공원_1637,어린이공원(청담목련),0.0,1099.87,1642.13,0.005,0.995,
64,봉은공원,328018.0,osm,417638568,봉은테니스장,90.0,0.0,8735.82,0.0266,0.9734,park
64,봉은공원,328018.0,osm,383846975,대치은행나무공원,25.0,1355.33,1563.51,0.0048,0.9952,park
64,봉은공원,328018.0,osm,614498544,삼성은행나무공원,25.0,880.46,1365.67,0.0042,0.9958,park
64,봉은공원,328018.0,osm,5493161,삼릉공원 / 서울 선릉과 정릉,0.0,564.17,241464.33,0.7361,0.2639,park
64,봉은공원,328018.0,osm,961506477,잠실 한강 공원,0.0,1215.41,438619.68,1.3372,0.3372,park
64,봉은공원,328018.0,osm,637366668,대치유수지체육공원,0.0,1321.56,73035.72,0.2227,0.7773,recreation_ground
64,봉은공원,328018.0,osm,417437657,청담근린공원,0.0,720.98,50215.01,0.1531,0.8469,park
64,봉은공원,328018.0,osm,700471384,삼성해맞이공원,0.0,805.24,25803.9,0.0787,0.9213,park
64,봉은공원,328018.0,osm,614502553,청담도로공원,0.0,966.51,17195.22,0.0524,0.9476,park
64,봉은공원,328018.0,osm,900203756,,0.0,1391.17,5498.88,0.0168,0.9832,park
79,삼청근린공원,380735.0,seoul,생활서비스시설_공원_0074,근린공원(삼청<시공원>),90.0,0.0,956167.32,2.5114,1.5114,
79,삼청근린공원,380735.0,seoul,생활서비스시설_공원_0096,마을마당(청운동),22.22,1407.49,256.35,0.0007,0.9993,
79,삼청근린공원,380735.0,seoul,생활서비스시설_공원_0107,도시자연공원((북악산)<시공원>),0.0,770.92,409813.34,1.0764,0.0764,
79,삼청근린공원,380735.0,seoul,생활서비스시설_공원_0085,근린공원(경복),0.0,784.63,432401.05,1.1357,0.1357,
79,삼청근린공원,380735.0,seoul,생활서비스시설_공원_0104,근린공원(창덕),0.0,415.79,460606.29,1.2098,0.2098,
79,삼청근린공원,380735.0,seoul,생활서비스시설_공원_0045,근린공원(창경),0.0,933.86,223825.58,0.5879,0.4121,
79,삼청근린공원,380735.0,seoul,생활서비스시설_공원_0078,근린공원(와룡<시공원>),0.0,191.09,173813.84,0.4565,0.5435,
79,삼청근린공원,380735.0,seoul,생활서비스시설_공원_0065,근린공원(원서),0.0,1244.29,9594.0,0.0252,0.9748,
79,삼청근린공원,380735.0,seoul,생활서비스시설_공원_0049,광장(무궁화동산),0.0,1148.1,6380.72,0.0168,0.9832,
79,삼청근린공원,380735.0,seoul,생활서비스시설_공원_0097,어린이공원(경학),0.0,1145.66,3366.32,0.0088,0.9912,
79,삼청근린공원,380735.0,osm,624285855,삼청공원,100.0,0.0,62387.92,0.1639,0.8361,park
79,삼청근린공원,380735.0,osm,5501517,경복궁,0.0,825.84,412060.84,1.0823,0.0823,park
79,삼청근린공원,380735.0,osm,10799909,,0.0,1287.27,64109.26,0.1684,0.8316,park
79,삼청근린공원,380735.0,osm,607913399,와룡공원,0.0,350.42,53900.2,0.1416,0.8584,park
79,삼청근린공원,380735.0,osm,424080008,열린송현 녹지광장,0.0,1305.66,33856.17,0.0889,0.9111,park
79,삼청근린공원,380735.0,osm,184444070,,0.0,1434.79,9347.27,0.0246,0.9754,park
79,삼청근린공원,380735.0,osm,10828950,현대원서공원,0.0,1254.33,8909.2,0.0234,0.9766,park
79,삼청근린공원,380735.0,osm,789175761,,0.0,1161.7,8353.02,0.0219,0.9781,park
79,삼청근린공원,380735.0,osm,298518901,북악 팔각정,0.0,1345.84,7192.85,0.0189,0.9811,park
79,삼청근린공원,380735.0,osm,222964179,무궁화동산,0.0,1171.83,6314.06,0.0166,0.9834,park
91,북서울꿈의숲,662543.0,seoul,생활서비스시설_공원_0495,마을마당(꿈동산),15.38,999.15,241.94,0.0004,0.9996,
91,북서울꿈의숲,662543.0,seoul,생활서비스시설_공원_0560,근린공원((초안산)<시공원>),0.0,1218.77,695884.71,1.0503,0.0503,
91,북서울꿈의숲,662543.0,seoul,생활서비스시설_공원_0641,근린공원(초안산<시공원>),0.0,821.42,1022430.14,1.5432,0.5432,
91,북서울꿈의숲,662543.0,seoul,생활서비스시설_공원_0442,근린공원((오동)<시공원>),0.0,736.37,258474.58,0.3901,0.6099,
91,북서울꿈의숲,662543.0,seoul,생활서비스시설_공원_0527,강변공원(우이천),0.0,666.92,40201.03,0.0607,0.9393,
91,북서울꿈의숲,662543.0,seoul,생활서비스시설_공원_0725,근린공원(비석골),0.0,985.91,9913.7,0.015,0.985,
91,북서울꿈의숲,662543.0,seoul,생활서비스시설_공원_0482,강변공원(우이천),0.0,787.02,8121.04,0.0123,0.9877,
91,북서울꿈의숲,662543.0,seoul,생활서비스시설_공원_0453,기타공원(마을공원),0.0,1263.14,6328.22,0.0096,0.9904,
91,북서울꿈의숲,662543.0,seoul,생활서비스시설_공원_0496,어린이공원(버드나무),0.0,1249.39,4964.33,0.0075,0.9925,
91,북서울꿈의숲,662543.0,seoul,생활서비스시설_공원_0600,어린이공원(각심),0.0,1116.1,4772.3,0.0072,0.9928,
91,북서울꿈의숲,662543.0,osm,485047329,북서울 꿈의 숲,100.0,82.84,116149.01,0.1753,0.8247,park
91,북서울꿈의숲,662543.0,osm,468614801,영축산유아숲체험장,13.33,1186.52,5173.48,0.0078,0.9922,park
91,북서울꿈의숲,662543.0,osm,536406794,청운답원,0.0,100.18,11269.25,0.017,0.983,park
91,북서울꿈의숲,662543.0,osm,1492272146,초안산 수국동산,0.0,824.29,10326.63,0.0156,0.9844,park
91,북서울꿈의숲,662543.0,osm,1492272145,비석골근린공원,0.0,992.44,9500.95,0.0143,0.9857,park
91,북서울꿈의숲,662543.0,osm,1492706635,,0.0,1179.9,8001.79,0.0121,0.9879,park
91,북서울꿈의숲,662543.0,osm,783533925,별말어린이공원,0.0,664.37,5175.07,0.0078,0.9922,park
91,북서울꿈의숲,662543.0,osm,750683195,,0.0,1480.49,3927.28,0.0059,0.9941,park
91,북서울꿈의숲,662543.0,osm,751010669,,0.0,1260.6,3666.77,0.0055,0.9945,park
91,북서울꿈의숲,662543.0,osm,750362083,애기릉터공원,0.0,1481.19,3594.26,0.0054,0.9946,park
95,금천체육공원(관악산),18083.0,seoul,생활서비스시설_공원_1257,도시자연공원((관악산)<시공원>),66.67,0.0,2535809.76,140.2317,139.2317,
95,금천체육공원(관악산),18083.0,seoul,생활서비스시설_공원_1414,도시자연공원(관악산<시공원>),66.67,132.06,11816655.17,653.4676,652.4676,
