park_id,park_name,polygon_id,polygon_label,total_score,name_score,spatial_score,distance_m,candidate_count,second_score,score_margin,status
72,용마폭포공원,생활서비스시설_공원_0378,도시자연공원(용마<시공원>),257.14,57.14,200,0.0,21,120.0,137.14,high
73,사육신공원,생활서비스시설_공원_1356,묘지공원(사육신<시공원>),330.0,130.0,200,0.0,16,50.0,280.0,high
74,용왕산근린공원,생활서비스시설_공원_0972,근린공원(용왕산<시공원>),330.0,130.0,200,0.0,24,50.0,280.0,high
75,사직근린공원,생활서비스시설_공원_0101,근린공원(사직<시공원>),330.0,130.0,200,0.0,42,180.0,150.0,high
76,우장산근린공원,생활서비스시설_공원_1077,근린공원(우장<시공원>),266.67,66.67,200,0.0,42,80.0,186.67,high
77,삼일근린공원,생활서비스시설_공원_1341,근린공원(3.1),200.0,0.0,200,0.0,33,50.0,150.0,review
78,삼청근린공원,생활서비스시설_공원_0074,근린공원(삼청<시공원>),330.0,130.0,200,0.0,24,80.0,250.0,high
79,인왕산도시자연공원,생활서비스시설_공원_0063,도시자연공원(인왕산<시공원>),330.0,130.0,200,0.0,36,280.0,50.0,high
80,상도근린공원,생활서비스시설_공원_1450,근린공원((상도)<시공원>),330.0,130.0,200,0.0,33,280.0,50.0,high
81,일자산근린공원,생활서비스시설_공원_1819,도시자연공원(일자산<시공원>),330.0,130.0,200,0.0,24,210.0,120.0,high
82,쌍문근린공원,생활서비스시설_공원_0591,근린공원(쌍문<시공원>),330.0,130.0,200,0.0,33,180.0,150.0,high
83,수락산도시자연공원,생활서비스시설_공원_0712,도시자연공원(수락산<시공원>),180.0,130.0,50,344.1,1,,,review
84,송파나루근린공원(석촌호수),생활서비스시설_공원_1765,근린공원(송파나루<시공원>),261.54,61.54,200,0.0,34,210.0,51.54,high
85,선유도근린공원,생활서비스시설_공원_0023,근린공원(선유도공원),350.0,150.0,200,0.0,19,80.0,270.0,high
86,손기정체육공원,생활서비스시설_공원_0134,체육공원(손기정),350.0,150.0,200,0.0,28,80.0,270.0,high
87,성북근린공원,생활서비스시설_공원_0439,근린공원(성북<시공원>),330.0,130.0,200,0.0,35,150.0,180.0,high
88,봉제산공원,생활서비스시설_공원_1149,근린공원(봉제산<시공원>),330.0,130.0,200,0.0,49,90.0,240.0,high
89,서울창포원,생활서비스시설_공원_0565,기타공원(도봉산역만남의광장),80.0,0.0,80,143.93,16,77.14,2.86,review
90,북서울꿈의숲,생활서비스시설_공원_0516,근린공원(오동<시공원>),200.0,0.0,200,0.0,36,50.0,150.0,review
91,서서울호수공원,생활서비스시설_공원_1855,문화공원(서서울호수),350.0,150.0,200,0.0,45,50.0,300.0,high
92,중랑캠핑숲,생활서비스시설_공원_0040,근린공원(나들이공원),80.0,0.0,80,261.17,16,50.0,30.0,review
93,솔밭근린공원,생활서비스시설_공원_0504,근린공원(솔밭),350.0,150.0,200,0.0,14,50.0,300.0,high
94,금천체육공원(관악산),생활서비스시설_공원_1257,도시자연공원((관악산)<시공원>),266.67,66.67,200,0.0,47,146.67,120.0,high
95,금천폭포근린공원,생활서비스시설_공원_1230,어린이공원(남서울),80.0,0.0,80,212.78,18,56.36,23.64,review
96,만수천공원(관악산),생활서비스시설_공원_1257,도시자연공원((관악산)<시공원>),260.0,60.0,200,0.0,43,210.0,50.0,high
97,발바닥공원,생활서비스시설_공원_0584,소공원(발바닥공원),330.0,130.0,200,0.0,30,80.0,250.0,high
98,월천근린공원,생활서비스시설_공원_0564,근린공원(월천),350.0,150.0,200,0.0,44,120.0,230.0,high
99,용두근린공원,생활서비스시설_공원_0292,어린이공원(용두희망),130.0,130.0,0,1324.64,23,120.0,10.0,review
100,상암근린공원,생활서비스시설_공원_0908,근린공원(상암<시공원>),330.0,130.0,200,0.0,8,80.0,250.0,high
101,와우근린공원,생활서비스시설_공원_0900,어린이공원(와우),200.0,150.0,50,411.89,27,80.0,120.0,review
102,금호근린공원,생활서비스시설_공원_0188,근린공원(금호),350.0,150.0,200,0.0,42,250.0,100.0,high
103,달맞이근린공원,생활서비스시설_공원_0031,강변공원(뚝섬지구),80.0,0.0,80,130.63,33,50.0,30.0,review
104,문정근린공원,생활서비스시설_공원_0032,근린공원(문정동근린공원),330.0,130.0,200,0.0,31,120.0,210.0,high
105,문화예술공원,생활서비스시설_공원_0007,근린공원(시민의숲),200.0,0.0,200,0.0,27,53.33,146.67,review
106,세종로공원,생활서비스시설_공원_0095,광장(세종로광장),330.0,130.0,200,0.0,44,80.0,250.0,high
107,샘말공원(관악산근린공원 샘말지구),생활서비스시설_공원_1414,도시자연공원(관악산<시공원>),246.15,46.15,200,0.0,22,50.0,196.15,high
108,초안산생태공원,생활서비스시설_공원_0560,근린공원((초안산)<시공원>),330.0,130.0,200,0.0,37,150.0,180.0,high
109,푸른수목원,생활서비스시설_공원_0025,근린공원(푸른수목원),350.0,150.0,200,0.0,5,50.0,300.0,high
110,서오능도시자연공원,생활서비스시설_공원_0732,어린이공원(박석),0.0,0.0,0,1423.14,2,0.0,0.0,unmatched
111,청계산도시자연공원,생활서비스시설_공원_0003,도시자연공원((청계산)<서울대공원>),280.0,130.0,150,13.46,3,130.0,150.0,high
112,개화근린공원,생활서비스시설_공원_1142,어린이공원(개화),200.0,150.0,50,493.65,20,130.0,70.0,review
113,아차산공원,생활서비스시설_공원_0244,도시자연공원((용마)<시공원>),200.0,0.0,200,0.0,15,53.33,146.67,review
114,인능산도시자연공원,생활서비스시설_공원_1497,도시자연공원(인능산1<시공원>),210.0,130.0,80,182.23,14,210.0,0.0,review
115,구룡산도시자연공원,생활서비스시설_공원_1496,도시자연공원(대모산<시공원>),178.57,28.57,150,0.44,18,178.57,0.0,review
116,우면산도시자연공원,생활서비스시설_공원_1556,도시자연공원(우면산<시공원>),330.0,130.0,200,0.0,13,40.0,290.0,high
117,향림근린공원,생활서비스시설_공원_0766,어린이공원(가람),50.0,0.0,50,340.8,15,50.0,0.0,review
118,신사근린공원,생활서비스시설_공원_0791,마을마당(신사2동),210.0,130.0,80,274.51,28,150.0,60.0,high
119,광평근린공원,생활서비스시설_공원_1572,어린이공원(일원새싹),50.0,0.0,50,424.84,27,50.0,0.0,review
120,청담근린공원,생활서비스시설_공원_1631,근린공원(청담),350.0,150.0,200,0.0,16,210.0,140.0,high
121,허브천문공원,생활서비스시설_공원_1819,도시자연공원(일자산<시공원>),200.0,0.0,200,0.0,17,80.0,120.0,review
122,GTX연신849광장(구 물빛공원),생활서비스시설_공원_0784,기타공원(연신내물빛),244.44,44.44,200,0.0,36,180.0,64.44,high
123,숭인근린공원,생활서비스시설_공원_0070,근린공원(숭인),350.0,150.0,200,0.0,31,210.0,140.0,high
124,서일대뒷산공원,생활서비스시설_공원_0378,도시자연공원(용마<시공원>),200.0,0.0,200,0.0,24,80.0,120.0,review
125,용마도시자연공원(사가정공원),생활서비스시설_공원_0378,도시자연공원(용마<시공원>),250.0,50.0,200,0.0,23,81.54,168.46,high
126,문화비축기지,생활서비스시설_공원_0037,기타공원(월드컵),50.0,0.0,50,329.19,23,50.0,0.0,review
127,경춘선숲길,생활서비스시설_공원_0627,어린이공원(해오라기),80.0,0.0,80,159.56,41,80.0,0.0,review
128,율현공원,생활서비스시설_공원_1623,마을마당(율현동),150.0,130.0,20,909.99,9,50.0,100.0,review
130,서울식물원,생활서비스시설_공원_1036,기타공원(가양동자투리),80.0,0.0,80,290.62,21,50.0,30.0,review
131,경의선숲길,생활서비스시설_공원_0845,근린공원(궁동<시공원>),80.0,0.0,80,225.68,42,80.0,0.0,review
132,서소문역사공원,생활서비스시설_공원_0111,근린공원(서소문),300.0,150.0,150,27.82,31,80.0,220.0,high
133,순화문화공원,생활서비스시설_공원_0122,어린이공원(순화),300.0,150.0,150,37.56,30,80.0,220.0,high
