park_id,park_name,geometry_source,match_method,polygon_count,source_ids,source_names,note,geometry_type,area_m2
49,동명근린공원,seoul_shapefile,automatic_high,1,생활서비스시설_공원_1837,근린공원(동명),자동 매칭 high,MultiPolygon,99568.86
50,마로니에공원,seoul_shapefile,automatic_high,1,생활서비스시설_공원_0073,근린공원(마로니에),자동 매칭 high,Polygon,6417.54
51,자매근린공원,seoul_shapefile,automatic_high,1,생활서비스시설_공원_1293,근린공원(자매),자동 매칭 high,Polygon,16391.22
52,장지근린공원,seoul_shapefile,automatic_high,1,생활서비스시설_공원_1726,근린공원(장지<시공원>),자동 매칭 high,MultiPolygon,697890.78
53,명일근린공원,seoul_shapefile,automatic_high,1,생활서비스시설_공원_1818,근린공원(명일<시공원>),자동 매칭 high,MultiPolygon,651948.59
54,방화근린공원,seoul_shapefile,automatic_high,1,생활서비스시설_공원_1127,근린공원(방화),자동 매칭 high,Polygon,72175.73
55,아시아근린공원,seoul_shapefile,automatic_high,1,생활서비스시설_공원_1772,근린공원(아시아),자동 매칭 high,Polygon,66183.65
56,배봉산근린공원,seoul_shapefile,automatic_high,1,생활서비스시설_공원_0321,근린공원(배봉산<시공원>),자동 매칭 high,Polygon,286057.02
57,안산도시자연공원,seoul_shapefile,automatic_high,1,생활서비스시설_공원_0822,도시자연공원(안산<시공원>),자동 매칭 high,MultiPolygon,1916778.0
58,염창근린공원,seoul_shapefile,automatic_high,1,생활서비스시설_공원_1078,근린공원(염창<시공원>),자동 매칭 high,Polygon,113813.7
59,백련근린공원,seoul_shapefile,automatic_high,1,생활서비스시설_공원_0805,근린공원(백련<시공원>),자동 매칭 high,Polygon,974789.04
60,오금근린공원,seoul_shapefile,automatic_high,1,생활서비스시설_공원_1723,근린공원(오금<시공원>),자동 매칭 high,Polygon,219365.53
61,오동근린공원,seoul_shapefile,automatic_high,1,생활서비스시설_공원_0516,근린공원(오동<시공원>),자동 매칭 high,Polygon,1346193.9
62,봉산도시자연공원,seoul_shapefile,automatic_high,1,생활서비스시설_공원_0746,도시자연공원(봉산<시공원>),자동 매칭 high,Polygon,1570733.0
64,봉은공원,seoul_shapefile,automatic_high,1,생활서비스시설_공원_1622,근린공원(봉은),자동 매칭 high,Polygon,75634.15
65,올림픽공원,seoul_shapefile,automatic_high,1,생활서비스시설_공원_1716,기타공원(올림픽공원),자동 매칭 high,Polygon,1612211.98
66,와룡근린공원,seoul_shapefile,automatic_high,1,생활서비스시설_공원_0078,근린공원(와룡<시공원>),자동 매칭 high,Polygon,173813.84
67,봉화산근린공원,seoul_shapefile,automatic_high,1,생활서비스시설_공원_0384,근린공원(봉화산<시공원>),자동 매칭 high,Polygon,1035076.6
